job_id,title,url,location,job_type,salary,total_fields,common_fields,unique_fields
marketing-professionals-ap00012,Marketing Professionals - (AP00012),https://saganrecruitment.com/job/marketing-professionals-ap00012/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
paid-media-specialist-ads-manager-ai-native-agency-wg14196,Paid Media Specialist / Ads Manager (AI-Native Agency) - (WG14196),https://saganrecruitment.com/job/paid-media-specialist-ads-manager-ai-native-agency-wg14196/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
ma-strategy-presentation-analyst-wg14195,M&A Strategy & Presentation Analyst - (WG14195),https://saganrecruitment.com/job/ma-strategy-presentation-analyst-wg14195/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
remote-paralegal-litigation-discovery-hr74894,Remote Paralegal — Litigation & Discovery - (HR74894),https://saganrecruitment.com/job/remote-paralegal-litigation-discovery-hr74894/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
client-services-coordinator-hr81165,Client Services Coordinator - (HR81165),https://saganrecruitment.com/job/client-services-coordinator-hr81165/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
corporate-paralegal-hr41570,Corporate Paralegal - (HR41570),https://saganrecruitment.com/job/corporate-paralegal-hr41570/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
executive-assistant-hr73246,Executive Assistant - (HR73246),https://saganrecruitment.com/job/executive-assistant-hr73246/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
recruiter-hr60704,Recruiter - (HR60704),https://saganrecruitment.com/job/recruiter-hr60704/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
social-media-manager-ap00014,Social Media Manager - (AP00014),https://saganrecruitment.com/job/social-media-manager-ap00014/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
sales-professionals-ap00011,Sales Professionals - (AP00011),https://saganrecruitment.com/job/sales-professionals-ap00011/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
